BRGY_CODE,BRGY,MUNICIPALITY,PROVINCE,REGION,URBANITY
59000,Laylay,Boac,Marinduque,SL,Rural
59100,Lapu-Lapu  ,Santa Cruz,Marinduque,SL,Rural
96100,Banahaw Pob,Santa Cruz,Marinduque,SL,Rural
96300,Buyabod,Santa Cruz,Marinduque,SL,Rural
59200,Banuyo,Gasan,Marinduque,SL,Rural
59300,Libtangin,Gasan,Marinduque,SL,Rural
55600,Guinobatan,Calapan,Mindoro,SL,Rural
55700,Lazareto,Calapan,Mindoro,SL,Rural
94300,Masipit,Calapan,Mindoro,SL,Rural
94400,Canubing I,Calapan,Mindoro,SL,Rural
55800,Guinhawa,Pinamalayan,Mindoro,SL,Rural
55900,Lumangbayan,Pinamalayan,Mindoro,SL,Rural
95100,Nabuslot,Pinamalayan,Mindoro,SL,Rural
50601,San Francisco,San Pablo,Laguna,SL,Urban
91101,San Lucas,San Pablo,Laguna,SL,Urban
91102,San Diego,San Pablo,Laguna,SL,Urban
55200,Malaya,Nagcarlan,Laguna,SL,Rural
55300,Silangan Kabubuhayan,Nagcarlan,Laguna,SL,Rural
90401,Tagapo,Santa Rosa,Laguna,SL,Urban
90402,Pook,Santa Rosa,Laguna,SL,Urban
90501,San Francisco,Biñan,Laguna,SL,Urban
90502,Santo Tomas,Biñan,Laguna,SL,Urban
50502,Parian,Calamba,Laguna,SL,Urban
50503,Pansol,Calamba,Laguna,SL,Urban
90201,Sirang Lupa,Calamba,Laguna,SL,Urban
51001,Cuyab,San Pedro,Laguna,SL,Urban
51002,Langgam,San Pedro,Laguna,SL,Urban
90601,San Isidro,Cabuyao,Laguna,SL,Urban
90602,Marinig,Cabuyao,Laguna,SL,Urban
50401,Santa Clara Exp To Wawa,Batangas City,Batangas,SL,Urban
50403,Calicanto,Batangas City,Batangas,SL,Urban
50801,Balintawak,Lipa,Batangas,SL,Urban
50802,Tambo,Lipa,Batangas,SL,Urban
91001,Sabang,Lipa,Batangas,SL,Urban
51801,Darasa,Tanauan,Batangas,SL,Urban
51802,Poblacion Barangay 4,Tanauan,Batangas,SL,Urban
51803,Poblacion Barangay 3,Tanauan,Batangas,SL,Urban
57800,Bautista,Labo,Cam Norte,SL,Rural
94800,Lugui,Labo,Cam Norte,SL,Rural
94900,Pangpang,Labo,Cam Norte,SL,Rural
95000,Daguit,Labo,Cam Norte,SL,Rural
51501,Abella,Naga,Camsur,SL,Urban
51502,Peñafrancia,Naga,Camsur,SL,Urban
51503,Bagumbayan Sur,Naga,Camsur,SL,Urban
58000,Bagoladio (Exp To Panoypoyan),Bula,Camsur,SL,Rural
58100,Balaogan,Bula,Camsur,SL,Rural
95600,San Jose,Bula,Camsur,SL,Rural
58400,Del Rosario,Pili,Camsur,SL,Rural
96200,Bagong Sirang,Pili,Camsur,SL,Rural
58200,Lourdes Young,Nabua,Camsur,SL,Rural
95200,Inapatan (Del Rosario Inapatan),Nabua,Camsur,SL,Rural
95300,Topas Proper,Nabua,Camsur,SL,Rural
52301,Zone Ii Pob. (Bgy. 2- West Ilawod),Bulan,Sorsogon,SL,Urban
52302,Zone Vii Pob. (Bgy. 7- Iraya),Bulan,Sorsogon,SL,Urban
58800,Balud Del Norte (Pob.),Gubat,Sorsogon,SL,Rural
58900,Tiris,Gubat,Sorsogon,SL,Rural
52201,Nursery,Masbate,Masbate,SL,Urban
52202,Ibingay,Masbate,Masbate,SL,Urban
58600,Paraiso (Potot),Milagros,Masbate,SL,Rural
58700,Bangad,Milagros,Masbate,SL,Rural
50901,Cotta,Lucena,Quezon,SL,Urban
50902,Isabang,Lucena,Quezon,SL,Urban
56700,Ibabang Polo,Pagbilao,Quezon,SL,Rural
96000,Ibabang Palsabangon,Pagbilao,Quezon,SL,Rural
95800,Liwayway,Mauban,Quezon,SL,Rural
95900,Sadsaran (Pob.),Mauban,Quezon,SL,Rural
52101,Talolong (Pob.),Lopez,Quezon,SL,Urban
52102,Hondagua,Lopez,Quezon,SL,Urban
57200,Dapdap (Exp. Sabang I,Calauag,Quezon,SL,Rural
57300,San Roque Ilaya,Calauag,Quezon,SL,Rural
95700,Sabang Ii,Calauag,Quezon,SL,Rural
95400,Villa Nava (Exp. To Villa Padua),Gumaca,Quezon,SL,Rural
95500,Progreso,Gumaca,Quezon,SL,Rural
56400,Bantad (Exp To Guitnang Barrio),Gumaca,Quezon,SL,Rural
50101,San Jose,Antipolo,Rizal,SL,Urban
50102,Cupang,Antipolo,Rizal,SL,Urban
50104,Mayamot,Antipolo,Rizal,SL,Urban
50105,Santa Cruz,Antipolo,Rizal,SL,Urban
51401,Calumpang,Binangonan,Rizal,SL,Urban
51402,Kalawaan,Binangonan,Rizal,SL,Urban
50103,San Isidro,Antipolo,Rizal,SL,Urban
50701,Santo Domingo,Cainta,Rizal,SL,Urban
50702,San Andres (Pob.),Cainta,Rizal,SL,Urban
51601,Burgos,Rodriguez,Rizal,SL,Urban
51602,San Jose,Rodriguez,Rizal,SL,Urban
90301,Dolores (Pob.),Taytay,Rizal,SL,Urban
90302,Santa Ana,Taytay,Rizal,SL,Urban
90801,Santo Niño,San Mateo,Rizal,SL,Urban
90802,Maly,San Mateo,Rizal,SL,Urban
51301,Bgy. 32 - San Roque (Bgy. 66),Legazpi ,Albay,SL,Urban
51302,Bgy. 49 - Bigaa (Bgy. 44),Legazpi ,Albay,SL,Urban
51303,Bgy. 38 - Gogon (Bgy. 54),Legazpi ,Albay,SL,Urban
57400,Mauraro,Guinobatan,Albay,SL,Rural
57500,San Rafael,Guinobatan,Albay,SL,Rural
57600,Fidel Surtida,Santo Domingo,Albay,SL,Rural
57700,San Isidro,Santo Domingo,Albay,SL,Rural
50201,San Nicolas,Bacoor,Cavite,SL,Urban
50202,Aniban I,Bacoor,Cavite,SL,Urban
50203,Mambog Iv,Bacoor,Cavite,SL,Urban
51101,Tanzang Luma,Imus,Cavite,SL,Urban
51102,Medicion Ii-B,Imus,Cavite,SL,Urban
55000,Banaba Cerca,Indang,Cavite,SL,Rural
55100,Guyam Malaki,Indang,Cavite,SL,Rural
90901,Buhay Na Tubig,Imus,Cavite,SL,Urban
50301,Sampaloc Ii,Dasmariñas,Cavite,SL,Urban
50302,Burol,Dasmariñas,Cavite,SL,Urban
50303,San Agustin,Dasmariñas,Cavite,SL,Urban
90101,Langkaan Ii,Dasmariñas,Cavite,SL,Urban
90701,Santiago,General Trias,Cavite,SL,Urban
90702,San Francisco,General Trias,Cavite,SL,Urban
94000,Tubuan Ii (Exp To Luksuhin),Silang,Cavite,SL,Rural
94100,Paligawan,Silang,Cavite,SL,Rural
54800,Ipil Ii,Silang,Cavite,SL,Rural
94200,Narra Iii,Silang,Cavite,SL,Rural
51701,Sapa I,Rosario,Cavite,SL,Urban
51702,Ligtong I,Rosario,Cavite,SL,Urban
51703,Wawa Ii,Rosario,Cavite,SL,Urban
54100,Pinagsibaan,Rosario,Batangas,SL,Rural
94500,Maalas-As,Rosario,Batangas,SL,Rural
94600,Bulihan,Rosario,Batangas,SL,Rural
94700,Nasi,Rosario,Batangas,SL,Rural
25200,Bobon,Malasiqui,Pangasinan,NL,Rural
64500,Payar,Malasiqui,Pangasinan,NL,Rural
25300,Don Pedro,Malasiqui,Pangasinan,NL,Rural
64600,Barang,Malasiqui,Pangasinan,NL,Rural
64700,Lareg-Lareg,Malasiqui,Pangasinan,NL,Rural
20701,Bulihan,Malolos,Bulacan,NL,Urban
20703,Mojon,Malolos,Bulacan,NL,Urban
20801,Tungkong Mangga,San Jose Del Monte,Bulacan,NL,Urban
20802,Minuyan,San Jose Del Monte,Bulacan,NL,Urban
60101,Muzon,San Jose Del Monte,Bulacan,NL,Urban
26800,Labinab,Cauayan,Isabela,NL,Rural
26900,San Antonio,Cauayan,Isabela,NL,Rural
27000,Aurora,Alicia,Isabela,NL,Rural
27100,Apanay,Alicia,Isabela,NL,Rural
64800,Rizal,City Of Cauayan,Isabela,NL,Rural
64900,Maligaya,City Of Cauayan,Isabela,NL,Rural
21901,San Agustin,Hagonoy,Bulacan,NL,Urban
21902,Mercado,Hagonoy,Bulacan,NL,Urban
21903,San Miguel,Hagonoy,Bulacan,NL,Urban
22101,Borol 1St,Balagtas,Bulacan,NL,Urban
22102,Panginay,Balagtas,Bulacan,NL,Urban
22103,Borol 2Nd,Balagtas,Bulacan,NL,Urban
60301,Caysio,Santa Maria,Bulacan,NL,Urban
60302,Pulong Buhangin,Santa Maria,Bulacan,NL,Urban
20101,Irisan,Baguio City,Benguet,NL,Urban
24100,Wangal,La Trinidad,Benguet,NL,Rural
65800,Puguis,La Trinidad,Benguet,NL,Rural
20103,Fairview,Baguio City,Benguet,NL,Urban
66300,Alno,La Trinidad,Benguet,NL,Rural
21201,Catbangen,San Fernando City,La Union,NL,Urban
21202,Lingsat,San Fernando City,La Union,NL,Urban
21203,Poro,San Fernando City,La Union,NL,Urban
24800,Dulao,Aringay,La Union,NL,Rural
66200,Alapang,La Trinidad,Benguet,NL,Rural
24900,San Eugenio,Aringay,La Union,NL,Rural
27500,Palihan,Hermosa,Bataan,NL,Rural
61302,Cupang Proper,Balanga,Bataan,NL,Urban
65700,Tuyo,Balanga,Bataan,NL,Rural
27400,Almacen,Hermosa,Bataan,NL,Rural
61301,Cataning,Balanga,Bataan,NL,Urban
61303,San Jose,Balanga,Bataan,NL,Urban
21701,Ugac Norte,Tuguegarao,Cagayan,NL,Urban
21702,Ugac Sur,Tuguegarao,Cagayan,NL,Urban
21703,Cataggaman Nuevo,Tuguegarao,Cagayan,NL,Urban
66100,Cataggaman Viejo,Tuguegarao,Cagayan,NL,Rural
66000,Pengue,Tuguegarao,Cagayan,NL,Rural
65900,Linao East,Tuguegarao,Cagayan,NL,Rural
26000,Baculud,Amulung,Cagayan,NL,Rural
26100,Calamagui,Amulung,Cagayan,NL,Rural
25800,Alibago,Enrile,Cagayan,NL,Rural
25900,Magalalag East,Enrile,Cagayan,NL,Rural
24400,San Pablo,Sto. Domingo,Ilocos Sur,NL,Rural
24500,Padu Chic,Sto. Domingo,Ilocos Sur,NL,Rural
61101,Pantay Daya,City Of Vigan (Capital),Ilocos Sur,NL,Urban
61102,Baranggay Viii,City Of Vigan (Capital),Ilocos Sur,NL,Urban
21503,Tamag,City Of Vigan (Capital),Ilocos Sur,NL,Urban
65300,Pantubig,San Rafael,Bulacan,NL,Rural
60501,Prenza Ii,Marilao,Bulacan,NL,Urban
65400,Maronguillo,San Rafael,Bulacan,NL,Rural
22001,Tabang,Plaridel,Bulacan,NL,Urban
22002,Parulan,Plaridel,Bulacan,NL,Urban
22003,Sipat,Plaridel,Bulacan,NL,Urban
60502,Lambakin,Marilao,Bulacan,NL,Urban
20401,Aduas Sur,Cabanatuan City,Nueva Ecija,NL,Urban
