BRGY_CODE,REGION,MUNICIPALITY,PROVINCE,BRGY,URBANITY,,,
12801001,NL,ILOCOS NORTE,ADAMS,Adams (Pob.),RURAL,#REF!,0,0
12802001,NL,ILOCOS NORTE,BACARRA,Bani,RURAL,#REF!,0,0
12802002,NL,ILOCOS NORTE,BACARRA,Buyon,RURAL,#REF!,0,0
12802003,NL,ILOCOS NORTE,BACARRA,Cabaruan,RURAL,#REF!,0,0
12802004,NL,ILOCOS NORTE,BACARRA,Cabulalaan,RURAL,#REF!,0,0
12802005,NL,ILOCOS NORTE,BACARRA,Cabusligan,RURAL,#REF!,0,0
12802006,NL,ILOCOS NORTE,BACARRA,Cadaratan,RURAL,#REF!,0,0
12802007,NL,ILOCOS NORTE,BACARRA,Calioet-Libong,RURAL,#REF!,0,0
12802008,NL,ILOCOS NORTE,BACARRA,Casilian,RURAL,#REF!,0,0
12802009,NL,ILOCOS NORTE,BACARRA,Corocor,RURAL,#REF!,0,0
12802011,NL,ILOCOS NORTE,BACARRA,Duripes,RURAL,#REF!,0,0
12802012,NL,ILOCOS NORTE,BACARRA,Ganagan,RURAL,#REF!,0,0
12802013,NL,ILOCOS NORTE,BACARRA,Libtong,RURAL,#REF!,0,0
12802014,NL,ILOCOS NORTE,BACARRA,Macupit,RURAL,#REF!,0,0
12802015,NL,ILOCOS NORTE,BACARRA,Nambaran,RURAL,#REF!,0,0
12802016,NL,ILOCOS NORTE,BACARRA,Natba,RURAL,#REF!,0,0
12802017,NL,ILOCOS NORTE,BACARRA,Paninaan,RURAL,#REF!,0,0
12802018,NL,ILOCOS NORTE,BACARRA,Pasiocan,RURAL,#REF!,0,0
12802019,NL,ILOCOS NORTE,BACARRA,Pasngal,RURAL,#REF!,0,0
12802020,NL,ILOCOS NORTE,BACARRA,Pipias,RURAL,#REF!,0,0
12802021,NL,ILOCOS NORTE,BACARRA,Pulangi,RURAL,#REF!,0,0
12802022,NL,ILOCOS NORTE,BACARRA,Pungto,RURAL,#REF!,0,0
12802024,NL,ILOCOS NORTE,BACARRA,San Agustin I (Pob.),RURAL,#REF!,0,0
12802025,NL,ILOCOS NORTE,BACARRA,San Agustin II (Pob.),RURAL,#REF!,0,0
12802027,NL,ILOCOS NORTE,BACARRA,San Andres I (Pob.),RURAL,#REF!,0,0
12802028,NL,ILOCOS NORTE,BACARRA,San Andres II (Pob.),RURAL,#REF!,0,0
12802030,NL,ILOCOS NORTE,BACARRA,San Gabriel I (Pob.),RURAL,#REF!,0,0
12802031,NL,ILOCOS NORTE,BACARRA,San Gabriel II (Pob.),RURAL,#REF!,0,0
12802033,NL,ILOCOS NORTE,BACARRA,San Pedro I (Pob.),RURAL,#REF!,0,0
12802034,NL,ILOCOS NORTE,BACARRA,San Pedro II (Pob.),RURAL,#REF!,0,0
12802036,NL,ILOCOS NORTE,BACARRA,San Roque I (Pob.),RURAL,#REF!,0,0
12802037,NL,ILOCOS NORTE,BACARRA,San Roque II (Pob.),RURAL,#REF!,0,0
12802039,NL,ILOCOS NORTE,BACARRA,San Simon I (Pob.),RURAL,#REF!,0,0
12802040,NL,ILOCOS NORTE,BACARRA,San Simon II (Pob.),RURAL,#REF!,0,0
12802041,NL,ILOCOS NORTE,BACARRA,San Vicente (Pob.),RURAL,#REF!,0,0
12802042,NL,ILOCOS NORTE,BACARRA,Sangil,RURAL,#REF!,0,0
12802044,NL,ILOCOS NORTE,BACARRA,Santa Filomena I (Pob.),RURAL,#REF!,0,0
12802045,NL,ILOCOS NORTE,BACARRA,Santa Filomena II (Pob.),RURAL,#REF!,0,0
12802046,NL,ILOCOS NORTE,BACARRA,Santa Rita (Pob.),RURAL,#REF!,0,0
12802047,NL,ILOCOS NORTE,BACARRA,Santo Cristo I (Pob.),RURAL,#REF!,0,0
12802048,NL,ILOCOS NORTE,BACARRA,Santo Cristo II (Pob.),RURAL,#REF!,0,0
12802050,NL,ILOCOS NORTE,BACARRA,Tambidao,RURAL,#REF!,0,0
12802051,NL,ILOCOS NORTE,BACARRA,Teppang,RURAL,#REF!,0,0
12802052,NL,ILOCOS NORTE,BACARRA,Tubburan,RURAL,#REF!,0,0
12803001,NL,ILOCOS NORTE,BADOC,Alay-Nangbabaan (Alay 15-B),RURAL,#REF!,0,0
12803002,NL,ILOCOS NORTE,BADOC,Alogoog,RURAL,#REF!,0,0
12803003,NL,ILOCOS NORTE,BADOC,Ar-arusip,RURAL,#REF!,0,0
12803004,NL,ILOCOS NORTE,BADOC,Aring,RURAL,#REF!,0,0
12803005,NL,ILOCOS NORTE,BADOC,Balbaldez,RURAL,#REF!,0,0
12803006,NL,ILOCOS NORTE,BADOC,Bato,RURAL,#REF!,0,0
12803007,NL,ILOCOS NORTE,BADOC,Camanga,RURAL,#REF!,0,0
12803008,NL,ILOCOS NORTE,BADOC,Canaan (Pob.),RURAL,#REF!,0,0
12803009,NL,ILOCOS NORTE,BADOC,Caraitan,RURAL,#REF!,0,0
12803011,NL,ILOCOS NORTE,BADOC,Gabut Norte,RURAL,#REF!,0,0
12803012,NL,ILOCOS NORTE,BADOC,Gabut Sur,RURAL,#REF!,0,0
12803013,NL,ILOCOS NORTE,BADOC,Garreta (Pob.),RURAL,#REF!,0,0
12803016,NL,ILOCOS NORTE,BADOC,Labut,RURAL,#REF!,0,0
12803017,NL,ILOCOS NORTE,BADOC,Lacuben,RURAL,#REF!,0,0
12803018,NL,ILOCOS NORTE,BADOC,Lubigan,RURAL,#REF!,0,0
12803020,NL,ILOCOS NORTE,BADOC,Mabusag Norte,RURAL,#REF!,0,0
12803021,NL,ILOCOS NORTE,BADOC,Mabusag Sur,RURAL,#REF!,0,0
12803022,NL,ILOCOS NORTE,BADOC,Madupayas,RURAL,#REF!,0,0
12803023,NL,ILOCOS NORTE,BADOC,Morong,RURAL,#REF!,0,0
12803025,NL,ILOCOS NORTE,BADOC,Nagrebcan,RURAL,#REF!,0,0
12803026,NL,ILOCOS NORTE,BADOC,Napu,RURAL,#REF!,0,0
12803027,NL,ILOCOS NORTE,BADOC,La Virgen Milagrosa (Paguetpet),RURAL,#REF!,0,0
12803028,NL,ILOCOS NORTE,BADOC,Pagsanahan Norte,RURAL,#REF!,0,0
12803029,NL,ILOCOS NORTE,BADOC,Pagsanahan Sur,RURAL,#REF!,0,0
12803030,NL,ILOCOS NORTE,BADOC,Paltit,RURAL,#REF!,0,0
12803031,NL,ILOCOS NORTE,BADOC,Parang,RURAL,#REF!,0,0
12803032,NL,ILOCOS NORTE,BADOC,Pasuc,RURAL,#REF!,0,0
12803034,NL,ILOCOS NORTE,BADOC,Santa Cruz Norte,RURAL,#REF!,0,0
12803035,NL,ILOCOS NORTE,BADOC,Santa Cruz Sur,RURAL,#REF!,0,0
12803036,NL,ILOCOS NORTE,BADOC,Saud,RURAL,#REF!,0,0
12803037,NL,ILOCOS NORTE,BADOC,Turod,RURAL,#REF!,0,0
12804001,NL,ILOCOS NORTE,BANGUI,Abaca,URBAN,#REF!,0,0
12804002,NL,ILOCOS NORTE,BANGUI,Bacsil,RURAL,#REF!,0,0
12804003,NL,ILOCOS NORTE,BANGUI,Banban,RURAL,#REF!,0,0
12804004,NL,ILOCOS NORTE,BANGUI,Baruyen,RURAL,#REF!,0,0
12804005,NL,ILOCOS NORTE,BANGUI,Dadaor,RURAL,#REF!,0,0
12804006,NL,ILOCOS NORTE,BANGUI,Lanao,RURAL,#REF!,0,0
12804007,NL,ILOCOS NORTE,BANGUI,Malasin,RURAL,#REF!,0,0
12804008,NL,ILOCOS NORTE,BANGUI,Manayon,RURAL,#REF!,0,0
12804009,NL,ILOCOS NORTE,BANGUI,Masikil,RURAL,#REF!,0,0
12804010,NL,ILOCOS NORTE,BANGUI,Nagbalagan,RURAL,#REF!,0,0
12804011,NL,ILOCOS NORTE,BANGUI,Payac,RURAL,#REF!,0,0
12804012,NL,ILOCOS NORTE,BANGUI,San Lorenzo (Pob.),RURAL,#REF!,0,0
12804014,NL,ILOCOS NORTE,BANGUI,Taguiporo,RURAL,#REF!,0,0
12804015,NL,ILOCOS NORTE,BANGUI,Utol,RURAL,#REF!,0,0
12805001,NL,ILOCOS NORTE,CITY OF BATAC,Aglipay (Pob.),RURAL,#REF!,0,0
12805002,NL,ILOCOS NORTE,CITY OF BATAC,Baay,RURAL,#REF!,0,0
12805003,NL,ILOCOS NORTE,CITY OF BATAC,Baligat,RURAL,#REF!,0,0
12805004,NL,ILOCOS NORTE,CITY OF BATAC,Bungon,RURAL,#REF!,0,0
12805005,NL,ILOCOS NORTE,CITY OF BATAC,Baoa East,RURAL,#REF!,0,0
12805006,NL,ILOCOS NORTE,CITY OF BATAC,Baoa West,RURAL,#REF!,0,0
12805007,NL,ILOCOS NORTE,CITY OF BATAC,Barani (Pob.),RURAL,#REF!,0,0
12805009,NL,ILOCOS NORTE,CITY OF BATAC,Ben-agan (Pob.),RURAL,#REF!,0,0
12805010,NL,ILOCOS NORTE,CITY OF BATAC,Bil-loca,RURAL,#REF!,0,0
12805011,NL,ILOCOS NORTE,CITY OF BATAC,Biningan,RURAL,#REF!,0,0
12805012,NL,ILOCOS NORTE,CITY OF BATAC,Callaguip (Pob.),URBAN,#REF!,0,0
12805013,NL,ILOCOS NORTE,CITY OF BATAC,Camandingan,RURAL,#REF!,0,0
12805014,NL,ILOCOS NORTE,CITY OF BATAC,Camguidan,RURAL,#REF!,0,0
12805015,NL,ILOCOS NORTE,CITY OF BATAC,Cangrunaan (Pob.),RURAL,#REF!,0,0
12805016,NL,ILOCOS NORTE,CITY OF BATAC,Capacuan,RURAL,#REF!,0,0
12805017,NL,ILOCOS NORTE,CITY OF BATAC,Caunayan (Pob.),URBAN,#REF!,0,0
12805018,NL,ILOCOS NORTE,CITY OF BATAC,Valdez Pob. (Caoayan),URBAN,#REF!,0,0
12805019,NL,ILOCOS NORTE,CITY OF BATAC,Colo,RURAL,#REF!,0,0
12805020,NL,ILOCOS NORTE,CITY OF BATAC,Pimentel (Cubol),RURAL,#REF!,0,0
12805021,NL,ILOCOS NORTE,CITY OF BATAC,Dariwdiw,RURAL,#REF!,0,0
12805022,NL,ILOCOS NORTE,CITY OF BATAC,Acosta Pob. (Iloilo),URBAN,#REF!,0,0
12805023,NL,ILOCOS NORTE,CITY OF BATAC,Ablan Pob. (Labucao),URBAN,#REF!,0,0
12805024,NL,ILOCOS NORTE,CITY OF BATAC,Lacub (Pob.),RURAL,#REF!,0,0
12805025,NL,ILOCOS NORTE,CITY OF BATAC,Mabaleng,RURAL,#REF!,0,0
12805026,NL,ILOCOS NORTE,CITY OF BATAC,Magnuang,URBAN,#REF!,0,0
12805027,NL,ILOCOS NORTE,CITY OF BATAC,Maipalig,RURAL,#REF!,0,0
12805028,NL,ILOCOS NORTE,CITY OF BATAC,Nagbacalan,RURAL,#REF!,0,0
12805029,NL,ILOCOS NORTE,CITY OF BATAC,Naguirangan,RURAL,#REF!,0,0
12805030,NL,ILOCOS NORTE,CITY OF BATAC,Ricarte Pob. (Nalasin),URBAN,#REF!,0,0
